trade_id,status,symbol,buy_date,sell_date,holding_days,buy_shares,sell_shares,sell_count,buy_price,average_sell_price,buy_value,sell_value,gross_pnl,cost,net_pnl,net_pnl_display,net_return_pct,exit_reasons
1,closed,300170,2025-02-27,2025-03-06,7,0.026567481402763018,0.026567481402763018,1,18.82,22.65,0.5,0.6017534537725823,0.10175345377258227,0.0011017534537725822,0.10065170031880968,100651.70031880969,0.20110229833928012,take_profit_8
2,closed,002354,2025-02-27,2025-03-03,4,0.06332499987322324,0.06332499987322324,1,7.88,6.75,0.4990009990009991,0.42744374914425687,-0.07155724985674222,0.000926444748145256,-0.07248369460488747,-72483.69460488748,-0.1451125017114864,break_bbi
3,closed,300638,2025-03-03,2025-03-06,3,0.0131137324217471,0.0131137324217471,1,32.53,36.48,0.4265897156794332,0.47838895874533416,0.051799243065900946,0.0009049786744247674,0.05089426439147618,50894.26439147618,0.1191857635140756,take_profit_8
4,closed,300547,2025-03-06,2025-03-11,5,0.01454653909551629,0.01454653909551629,1,37.09,41.55,0.5395311350526992,0.6044086994187018,0.06487756436600256,0.0011439398344714011,0.06373362453153116,63733.62453153115,0.11800978746246994,take_profit_8
5,closed,600602,2025-03-06,2025-03-07,1,0.02184394120758133,0.02184394120758133,1,24.65,27.110000000000003,0.5384531507668797,0.5921892461375299,0.05373609537065016,0.0011306423969044096,0.052605452973745755,52605.452973745756,0.09759976331984464,take_profit_8
6,closed,300853,2025-03-07,2025-03-12,5,0.019162848857526914,0.019162848857526914,1,29.32,32.4,0.5618547285026891,0.620876302983872,0.05902157448118284,0.001182731031486561,0.057838843449696274,57838.84344969627,0.10283986136646427,take_profit_8
7,closed,000679,2025-03-10,2025-03-17,7,0.0042126188349512475,0.0042126188349512475,1,6.92,7.5200000000000005,0.02915132233786263,0.03167889363883338,0.002527571300970751,6.083021597669601e-05,0.002466741084994055,2466.7410849940547,0.08453396314668,take_profit_8
8,closed,002068,2025-03-11,2025-04-07,27,0.0528660025968145,0.0528660025968145,1,11.41,10.709999999999999,0.6032010896296535,0.5661948878118833,-0.037006201817770146,0.0011693959774415367,-0.03817559779521169,-38175.59779521169,-0.06322511843984237,break_bbi
9,closed,688343,2025-03-12,2025-03-21,9,0.008955568592137565,0.008955568592137565,1,69.19,60.87,0.6196357908899981,0.5451254602034136,-0.07451033068658452,0.0011647612510934117,-0.07567509193767794,-75675.09193767793,-0.12200633591007921,break_bbi
10,closed,002575,2025-03-17,2025-03-31,14,0.0030724586147763367,0.0030724586147763367,1,10.29,9.11,0.0316155991460485,0.027990097980612427,-0.0036255011654360743,5.960569712666093e-05,-0.0036851068625627353,-3685.1068625627354,-0.1164433234404079,break_bbi
